央视频道[2],#genre#

流媒体技术实验,https://gh-proxy.com/https://raw.githubusercontent.com/RJZC-LRJ/RJ/refs/heads/main/RJLIVE_V2.6.8/m3u8/index.m3u8

CCTV1,http://42.240.145.105:2003/zhao.php?id=CCTV1
CCTV2,http://42.240.145.105:2003/zhao.php?id=CCTV2
CCTV3,http://42.240.145.105:2003/zhao.php?id=CCTV3
CCTV4,http://42.240.145.105:2003/zhao.php?id=CCTV4
CCTV5,http://42.240.145.105:2003/zhao.php?id=CCTV5
CCTV5+,http://42.240.145.105:2003/zhao.php?id=CCTV5p
CCTV6,http://42.240.145.105:2003/zhao.php?id=CCTV6
CCTV7,http://42.240.145.105:2003/zhao.php?id=CCTV7
CCTV8,http://42.240.145.105:2003/zhao.php?id=CCTV8
CCTV9,http://42.240.145.105:2003/zhao.php?id=CCTV9
CCTV10,http://42.240.145.105:2003/zhao.php?id=CCTV10
CCTV11,http://42.240.145.105:2003/zhao.php?id=CCTV11
CCTV12,http://42.240.145.105:2003/zhao.php?id=CCTV12
CCTV13,http://42.240.145.105:2003/zhao.php?id=CCTV13
CCTV14,http://42.240.145.105:2003/zhao.php?id=CCTV14
CCTV15,http://42.240.145.105:2003/zhao.php?id=CCTV15
CCTV16,http://42.240.145.105:2003/zhao.php?id=CCTV16
CCTV17,http://42.240.145.105:2003/zhao.php?id=CCTV17



卫视频道[2],#genre#

北京卫视,http://42.240.145.105:2003/zhao.php?id=北京卫视
东方卫视,http://42.240.145.105:2003/zhao.php?id=东方卫视
湖南卫视,http://42.240.145.105:2003/zhao.php?id=湖南卫视
浙江卫视,http://42.240.145.105:2003/zhao.php?id=浙江卫视
江苏卫视,http://42.240.145.105:2003/zhao.php?id=江苏卫视
广东卫视,http://42.240.145.105:2003/zhao.php?id=广东卫视
山东卫视,http://42.240.145.105:2003/zhao.php?id=山东卫视
辽宁卫视,http://42.240.145.105:2003/zhao.php?id=辽宁卫视
湖北卫视,http://42.240.145.105:2003/zhao.php?id=湖北卫视
河北卫视,http://42.240.145.105:2003/zhao.php?id=河北卫视
河南卫视,http://42.240.145.105:2003/zhao.php?id=河南卫视
深圳卫视,http://42.240.145.105:2003/zhao.php?id=深圳卫视
天津卫视,http://42.240.145.105:2003/zhao.php?id=天津卫视
重庆卫视,http://42.240.145.105:2003/zhao.php?id=重庆卫视
安徽卫视,http://42.240.145.105:2003/zhao.php?id=安徽卫视
东南卫视,http://42.240.145.105:2003/zhao.php?id=东南卫视
山西卫视,http://42.240.145.105:2003/zhao.php?id=山西卫视
陕西卫视,http://42.240.145.105:2003/zhao.php?id=陕西卫视
四川卫视,http://42.240.145.105:2003/zhao.php?id=四川卫视
黑龙江卫视,http://42.240.145.105:2003/zhao.php?id=黑龙江卫视
吉林卫视,http://42.240.145.105:2003/zhao.php?id=吉林卫视
云南卫视,http://42.240.145.105:2003/zhao.php?id=云南卫视
贵州卫视,http://42.240.145.105:2003/zhao.php?id=贵州卫视
广西卫视,http://42.240.145.105:2003/zhao.php?id=广西卫视
江西卫视,http://42.240.145.105:2003/zhao.php?id=江西卫视
海南卫视,http://42.240.145.105:2003/zhao.php?id=海南卫视
甘肃卫视,http://42.240.145.105:2003/zhao.php?id=甘肃卫视
青海卫视,http://42.240.145.105:2003/zhao.php?id=青海卫视
宁夏卫视,http://42.240.145.105:2003/zhao.php?id=宁夏卫视
内蒙古卫视,http://42.240.145.105:2003/zhao.php?id=内蒙古卫视
新疆卫视,http://42.240.145.105:2003/zhao.php?id=新疆卫视
西藏卫视,http://42.240.145.105:2003/zhao.php?id=西藏卫视



央视频道[3],#genre#

CCTV1,http://45.192.97.170:8880/play/1.m3u8
CCTV2,http://45.192.97.170:8880/play/2.m3u8
CCTV3,http://45.192.97.170:8880/play/3.m3u8
CCTV4,http://45.192.97.170:8880/play/4.m3u8
CCTV5,http://45.192.97.170:8880/play/5.m3u8
CCTV5+,http://45.192.97.170:8880/play/6.m3u8
CCTV6,http://45.192.97.170:8880/play/7.m3u8
CCTV7,http://45.192.97.170:8880/play/8.m3u8
CCTV8,http://45.192.97.170:8880/play/9.m3u8
CCTV9,http://45.192.97.170:8880/play/10.m3u8
CCTV10,http://45.192.97.170:8880/play/11.m3u8
CCTV11,http://45.192.97.170:8880/play/12.m3u8
CCTV12,http://45.192.97.170:8880/play/13.m3u8
CCTV13,http://45.192.97.170:8880/play/14.m3u8
CCTV14,http://45.192.97.170:8880/play/15.m3u8
CCTV15,http://45.192.97.170:8880/play/16.m3u8
CCTV17,http://45.192.97.170:8880/play/17.m3u8
CCTV4欧洲,http://45.192.97.170:8880/play/18.m3u8
CCTV4美洲,http://45.192.97.170:8880/play/19.m3u8
赛事最经典,http://45.192.97.170:8880/play/20.m3u8
体坛名栏汇,http://45.192.97.170:8880/play/21.m3u8
四海钓鱼,http://45.192.97.170:8880/play/22.m3u8



卫视频道[3],#genre#

大湾区卫视,http://45.192.97.170:8880/play/23.m3u8
陕西体育,http://45.192.97.170:8880/play/24.m3u8
辽宁体育,http://45.192.97.170:8880/play/25.m3u8
东方卫视,http://45.192.97.170:8880/play/26.m3u8
江苏卫视,http://45.192.97.170:8880/play/27.m3u8
广东卫视,http://45.192.97.170:8880/play/28.m3u8
北京卫视,http://45.192.97.170:8880/play/29.m3u8
辽宁卫视,http://45.192.97.170:8880/play/30.m3u8
河北卫视,http://45.192.97.170:8880/play/31.m3u8
江西卫视,http://45.192.97.170:8880/play/32.m3u8
陕西卫视,http://45.192.97.170:8880/play/33.m3u8
湖北卫视,http://45.192.97.170:8880/play/34.m3u8
农林卫视,http://45.192.97.170:8880/play/35.m3u8
兵团卫视,http://45.192.97.170:8880/play/36.m3u8



央视频道[4],#genre#

CCTV1综合,http://119.233.255.62:1234/608807420
CCTV2财经,http://119.233.255.62:1234/631780532
CCTV3综艺,http://119.233.255.62:1234/624878271
CCTV4中文国际,http://119.233.255.62:1234/631780421
CCTV5体育,http://119.233.255.62:1234/641886683
CCTV5+体育赛事,http://119.233.255.62:1234/641886773
CCTV6电影,http://119.233.255.62:1234/624878396
CCTV7国防军事,http://119.233.255.62:1234/673168121
CCTV8电视剧,http://119.233.255.62:1234/624878356
